Rank,State,Pop Estimate
24,Alabama,4903185
48,Alaska,731545
14,Arizona,7278717
33,Arkansas,3017825
1,California,39512223
21,Colorado,5758736
29,Connecticut,3565287
49,DC,705749
45,Delaware,973764
3,Florida,21477737
8,Georgia,10617423
40,Hawaii,1415872
39,Idaho,1787065
5,Illinois,12671821
17,Indiana,6732219
31,Iowa,3155070
35,Kansas,2913314
26,Kentucky,4467673
25,Louisiana,4648794
42,Maine,1344212
19,Maryland,6045680
15,Massachusetts,6949503
10,Michigan,9986857
22,Minnesota,5639632
34,Mississippi,2976149
18,Missouri,6137428
43,Montana,1068778
37,Nebraska,1934408
32,Nevada,3080156
41,New Hampshire,1359711
11,New Jersey,8882190
36,New Mexico,2096829
4,New York,19453561
9,North Carolina,10488084
47,North Dakota,762062
7,Ohio,11689100
28,Oklahoma,3956971
27,Oregon,4217737
6,Pennsylvania,12801989
44,Rhode Island,1059361
23,South Carolina,5148714
46,South Dakota,884659
16,Tennessee,6833174
2,Texas,28995881
30,Utah,3205958
50,Vermont,623989
12,Virginia,8535519
13,Washington,7614893
38,West Virginia,1792147
20,Wisconsin,5822434
51,Wyoming,578759
